country_code,country,year,month,tempdiff
BEL,Belgium,2017,1,-1.032
BEL,Belgium,2017,2,3.0180000000000002
BEL,Belgium,2017,3,3.951
BEL,Belgium,2017,4,0.562
BEL,Belgium,2017,5,2.739
BEL,Belgium,2017,6,3.41
BEL,Belgium,2017,7,2.0380000000000003
BEL,Belgium,2017,8,1.411
BEL,Belgium,2017,9,-0.19
BEL,Belgium,2017,10,2.424
BEL,Belgium,2017,11,1.062
BEL,Belgium,2017,12,1.444
BEL,Belgium,2018,1,4.055
BEL,Belgium,2018,2,-1.767
BEL,Belgium,2018,3,-0.325
BEL,Belgium,2018,4,4.282
BEL,Belgium,2018,5,3.4930000000000003
BEL,Belgium,2018,6,2.443
BEL,Belgium,2018,7,4.373
BEL,Belgium,2018,8,2.9389999999999996
BEL,Belgium,2018,9,1.4269999999999998
BEL,Belgium,2018,10,2.0909999999999997
BEL,Belgium,2018,11,1.6669999999999998
BEL,Belgium,2018,12,2.753
BEL,Belgium,2019,1,0.9009999999999999
BEL,Belgium,2019,2,4.016
BEL,Belgium,2019,3,2.878
BEL,Belgium,2019,4,2.128
BEL,Belgium,2019,5,-0.436
BEL,Belgium,2019,6,3.477
BEL,Belgium,2019,7,2.674
BEL,Belgium,2019,8,2.6919999999999997
BEL,Belgium,2019,9,0.92
BEL,Belgium,2019,10,1.7719999999999998
BEL,Belgium,2019,11,0.8740000000000001
BEL,Belgium,2019,12,2.714
BEL,Belgium,2020,1,3.592
BEL,Belgium,2020,2,4.29
BEL,Belgium,2020,3,1.82
BEL,Belgium,2020,4,3.8369999999999997
BEL,Belgium,2020,5,1.1059999999999999
BEL,Belgium,2020,6,1.854
BEL,Belgium,2020,7,1.3359999999999999
BEL,Belgium,2020,8,4.1160000000000005
BEL,Belgium,2020,9,2.133
BEL,Belgium,2020,10,0.972
BEL,Belgium,2020,11,2.8160000000000003
BEL,Belgium,2020,12,2.309
BRA,Brazil,2009,12,0.0
BRA,Brazil,2010,1,1.035
BRA,Brazil,2010,2,1.5230000000000001
BRA,Brazil,2010,3,1.493
BRA,Brazil,2010,4,1.08
BRA,Brazil,2010,5,1.1840000000000002
BRA,Brazil,2010,6,1.319
BRA,Brazil,2010,7,1.181
BRA,Brazil,2010,8,0.616
BRA,Brazil,2010,9,1.327
BRA,Brazil,2010,10,1.014
BRA,Brazil,2010,11,0.65
BRA,Brazil,2010,12,0.8690000000000001
BRA,Brazil,2011,1,0.669
BRA,Brazil,2011,2,0.57
BRA,Brazil,2011,3,0.42200000000000004
BRA,Brazil,2011,4,0.946
BRA,Brazil,2011,5,0.652
BRA,Brazil,2011,6,0.992
BRA,Brazil,2011,7,1.227
BRA,Brazil,2011,8,1.335
BRA,Brazil,2011,9,1.06
BRA,Brazil,2011,10,0.662
BRA,Brazil,2011,11,0.336
BRA,Brazil,2011,12,0.765
BRA,Brazil,2012,1,0.359
BRA,Brazil,2012,2,0.5479999999999999
BRA,Brazil,2012,3,0.721
BRA,Brazil,2012,4,1.3019999999999998
BRA,Brazil,2012,5,1.033
BRA,Brazil,2012,6,1.3869999999999998
BRA,Brazil,2012,7,0.968
BRA,Brazil,2012,8,1.204
BRA,Brazil,2012,9,1.484
BRA,Brazil,2012,10,1.695
BRA,Brazil,2012,11,1.163
BRA,Brazil,2012,12,1.474
