AverageTemperature,AverageTemperatureUncertainty,Country,Time
26.77,0.213,Trinidad And Tobago,Dec-09
14.512,0.5,Tunisia,Dec-09
5.954,0.29,Turkey,Dec-09
4.689,0.364,Turkmenistan,Dec-09
26.394,0.353,Turks And Caicas Islands,Dec-09
23.6,0.281,Uganda,Dec-09
-2.107,0.227,Ukraine,Dec-09
21.237,0.345,United Arab Emirates,Dec-09
3.043,0.19,United Kingdom (Europe),Dec-09
3.379,0.214,United Kingdom,Dec-09
-3.178,0.116,United States,Dec-09
22.099,0.282,Uruguay,Dec-09
1.311,0.334,Uzbekistan,Dec-09
26.107,0.322,Venezuela,Dec-09
21.067,0.196,Vietnam,Dec-09
26.798,0.246,Virgin Islands,Dec-09
19.647,0.458,Western Sahara,Dec-09
22.901,0.701,Yemen,Dec-09
23.228,0.862,Zambia,Dec-09
24.731,0.43,Zimbabwe,Dec-09
