Country,Time,Distribution Losses Electricity,"Net Electricity Production Coal, Peat and Manufactured Gases",Net Electricity Production Combustible Renewables,Net Electricity Production Geothermal,Net Electricity Production Hydro,Net Electricity Production Natural Gas,Net Electricity Production Not Specified,Net Electricity Production Nuclear,Net Electricity Production Oil and Petroleum Products,Net Electricity Production Other Combustible Non-Renewables,Net Electricity Production Other Renewables,Net Electricity Production Solar,Net Electricity Production Wind,Total Exports Electricity,Total Imports Electricity,Used for pumped storage Electricity
Argentina,Nov-17,,,129.591,0.0,3351.067,6225.9,,511.901,132.583,0.0,,1.6340000000000001,54.762,,,
Argentina,Nov-18,,0.0,118.5343,0.0,3092.6417,6120.9580000000005,0.0,380.0609,46.6616,0.0,0.0,23.8315,223.1793,,,
Argentina,Nov-19,,18.0113,145.8669,0.0,2438.1799,6984.5984,0.0,765.2331,151.493,0.0,0.0,108.1538,562.9839,,,
Argentina,Nov-20,,201.8526,228.5295,0.0,1679.8125,7080.7475,0.0,681.8682,1060.2481,0.0,0.0,192.6109,857.9366,,,
Argentina,Nov-21,,272.7731,196.4321,0.0,1674.5329,6161.5959,0.0,1070.4126,635.4428,0.0,0.0,277.9817,1095.557,,,
Argentina,Nov-22,,90.2309,187.0969,,2922.8411,5576.3548,,34.6218,1162.7246,,,301.4587,1133.5894,,,
Argentina,Oct-15,,269.08799999999997,123.486,0.0,3402.6420000000003,5023.479,,247.74200000000002,1646.181,0.0,0.0,1.214,52.398999999999994,,,
Argentina,Oct-16,,173.86700000000002,42.081,0.0,2346.972,6006.182,,754.59,1183.718,0.0,,1.348,44.446000000000005,,,
Argentina,Oct-17,,148.861,147.137,0.0,2988.1440000000002,5805.7609999999995,,622.182,529.7959999999999,0.0,,1.619,54.393,,,
Argentina,Oct-18,,46.3964,123.4445,0.0,2695.0252,6671.7715,0.0,399.5385,35.4483,0.0,0.0,14.222999999999999,186.5997,,,
Argentina,Oct-19,,48.021,160.4772,0.0,2186.8036,7142.7751,0.0,716.1968,397.6753,0.0,0.0,95.5121,516.5327,,,
